#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180524-163601.794;20180524-163603.000;45.07477;7.67182;3.0;290.2;291.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163602.296;20180524-163603.000;45.07544;7.67227;3.0;290.2;312.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163602.798;20180524-163604.000;45.07561;7.6724;3.0;285.3;333.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163603.297;20180524-163604.000;45.07567;7.67243;3.0;285.3;313.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163603.798;20180524-163605.000;45.0757;7.67246;3.0;281.0;314.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163604.299;20180524-163605.000;45.07584;7.67212;3.0;281.0;275.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163604.798;20180524-163606.000;45.07586;7.67208;3.0;280.1;228.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163605.300;20180524-163606.000;45.07588;7.67205;3.0;280.1;169.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163605.800;20180524-163607.000;45.07592;7.67199;3.0;278.6;224.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163606.303;20180524-163607.000;45.07596;7.67194;3.0;278.6;268.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163606.805;20180524-163608.000;45.07608;7.6718;3.0;280.4;339.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163607.302;20180524-163608.000;45.07614;7.67175;3.0;280.4;277.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163607.803;20180524-163609.000;45.07619;7.67171;3.0;284.0;326.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163608.304;20180524-163609.000;45.077;7.67175;3.0;284.0;280.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163608.807;20180524-163610.000;45.0776;7.67216;4.0;284.2;312.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163609.306;20180524-163610.000;45.07776;7.67226;4.0;284.2;276.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163609.824;20180524-163611.000;45.07812;7.67248;4.0;283.4;336.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163610.326;20180524-163611.000;45.07817;7.67268;4.0;283.4;290.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163610.820;20180524-163612.000;45.07841;7.67362;3.0;283.1;2.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163611.326;20180524-163612.000;45.07865;7.67454;3.0;283.1;281.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163611.823;20180524-163613.000;45.07896;7.67586;3.0;282.9;18.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163612.327;20180524-163613.000;45.07894;7.67589;3.0;282.9;264.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163612.809;20180524-163614.000;45.07893;7.67589;3.0;279.2;47.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163613.315;20180524-163614.000;45.07892;7.6759;3.0;279.2;213.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163613.814;20180524-163615.000;45.07891;7.67593;4.0;276.5;105.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163614.313;20180524-163615.000;45.07888;7.67598;4.0;276.5;245.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163614.813;20180524-163616.000;45.07887;7.67602;3.0;268.6;37.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163615.317;20180524-163616.000;45.07885;7.67605;3.0;268.6;265.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
